,Unnamed: 0,Unnamed: 0.1,id,chart_date,target_rank,actual_rank,title,artist,peak_rank,weeks_on_chart,Genre,wiki_genre
0,0,0,3,1961-07-03,56,57.0,I Don't Mind,James Brown,47.0,8.0,funk,Rhythm and blues
1,1,1,4,1971-08-07,32,31.0,You've Got A Friend,"Roberta Flack,Donny Hathaway",29.0,12.0,soul,Soft rock
2,2,2,6,1980-08-02,15,16.0,The Rose,Bette Midler,3.0,25.0,female vocalists,Pop
3,3,3,10,1984-03-24,49,51.0,An Innocent Man,Billy Joel,10.0,18.0,classic rock,Pop rock
4,4,4,12,1980-11-15,65,63.0,Lookin' For Love,Johnny Lee,5.0,21.0,country,Country
5,5,5,15,1976-08-07,21,21.0,Last Child,Aerosmith,21.0,15.0,rock,Funk rock
6,6,6,16,1984-07-28,37,39.0,She Bop,Cyndi Lauper,3.0,18.0,80s,New wave
7,7,7,18,1981-01-31,56,55.0,Kiss On My List,Daryl Hall & John Oates,1.0,23.0,80s,Pop rock
8,8,8,19,1976-10-09,88,87.0,Here's Some Love,Tanya Tucker,82.0,5.0,country,Country
9,9,9,21,1980-08-02,91,90.0,Just Can't Wait,The J. Geils Band,78.0,5.0,classic rock,Rock
10,10,10,22,1971-11-20,18,19.0,Never My Love,The 5th Dimension,12.0,11.0,60s,Baroque pop
11,11,11,23,1985-12-07,88,87.0,And She Was,Talking Heads,54.0,20.0,new wave,Rock
12,12,12,25,1971-07-17,38,36.0,Chicago,Graham Nash,35.0,11.0,singer-songwriter,Label
13,13,13,26,1966-05-07,88,86.0,Sweet Talkin' Guy,The Chiffons,10.0,10.0,60s,Not Found
14,14,14,27,1979-07-07,41,41.0,Rock 'N' Roll Fantasy,Bad Company,13.0,20.0,classic rock,Label
15,15,15,29,1973-11-10,44,46.0,The Joker,Steve Miller Band,1.0,20.0,classic rock,Rock
16,16,16,30,1970-12-05,18,18.0,Indiana Wants Me,R. Dean Taylor,5.0,15.0,northern soul,Soft rock
17,17,17,33,1978-02-11,99,100.0,Crazy On You,Heart,35.0,19.0,classic rock,Hard rock
18,18,18,34,1978-03-04,30,29.0,If I Can't Have You,Yvonne Elliman,1.0,22.0,Disco,Disco
19,19,19,35,1971-05-01,67,65.0,Freedom,Jimi Hendrix,59.0,8.0,classic rock,Rock
20,20,20,37,1968-04-13,67,65.0,Foggy Mountain Breakdown,Flatt & Scruggs,55.0,12.0,bluegrass,Bluegrass
21,21,21,39,1974-09-14,17,17.0,It's Only Rock 'N Roll (But I Like It),The Rolling Stones,16.0,10.0,classic rock,Not Found
22,22,22,40,1990-06-09,30,28.0,The Power,Snap,2.0,22.0,Not Found,Not Found
23,23,23,41,1971-11-06,28,27.0,Absolutely Right,Five Man Electrical Band,26.0,8.0,classic rock,Rock
24,24,24,43,1989-02-25,50,48.0,Two Hearts,Phil Collins,1.0,18.0,pop,Pop
25,25,25,44,1985-04-06,25,24.0,Some Like It Hot,The Power Station,6.0,18.0,80s,Funk rock
26,26,26,46,1972-07-01,12,12.0,I'll Take You There,The Staple Singers,1.0,15.0,soul,R&B
27,27,27,49,1964-08-08,36,36.0,People,Barbra Streisand,5.0,19.0,female vocalists,Not Found
28,28,28,50,1964-07-11,23,24.0,Love Me Do,The Beatles,1.0,14.0,classic rock,Merseybeat
29,29,29,51,1980-03-08,66,66.0,Carrie,Cliff Richard,34.0,11.0,oldies,Synthpop
30,30,30,53,1973-06-30,80,81.0,Over The Hills And Far Away,Led Zeppelin,51.0,8.0,classic rock,Not Found
31,31,31,54,1964-09-05,71,73.0,Last Kiss,J. Frank Wilson & The Cavaliers,2.0,20.0,oldies,Rhythm and blues
32,32,32,55,1987-03-07,56,56.0,Smoking Gun,The Robert Cray Band,22.0,14.0,blues,Blues rock
33,33,33,56,1965-06-19,72,74.0,I Love You So,Bobbi Martin,70.0,7.0,pop,R&B
34,34,34,59,1969-10-11,33,33.0,Is That All There Is,Peggy Lee,11.0,10.0,jazz,Not Found
35,35,35,61,1968-11-16,95,96.0,I Put A Spell On You,Creedence Clearwater Revival,58.0,9.0,classic rock,Rhythm and blues
36,36,36,62,1985-09-28,90,89.0,Hurts To Be In Love,Gino Vannelli,57.0,12.0,pop,Not Found
37,37,37,64,1967-08-26,54,53.0,Cry Softly Lonely One,Roy Orbison,52.0,6.0,classic rock,Rock
38,38,38,66,1988-06-18,57,58.0,Do You Love Me,The Contours,3.0,34.0,soul,Rock and roll
39,39,39,67,1962-06-16,99,97.0,Bongo Stomp,Little Joey & The Flips,35.0,8.0,doo wop,Not Found
40,40,40,68,1985-08-17,98,99.0,Black Cars,Gino Vannelli,42.0,16.0,pop,Rock
41,41,41,70,1969-11-15,12,12.0,Hot Fun In The Summertime,Sly & The Family Stone,2.0,16.0,funk,Psychedelic soul
42,42,42,71,1978-09-30,43,43.0,Paradise By The Dashboard Light,Meat Loaf,39.0,10.0,rock,Not Found
43,43,43,72,1969-09-06,5,5.0,Get Together,The Youngbloods,5.0,25.0,classic rock,Psychedelic rock
44,44,44,73,1976-06-12,49,49.0,Crazy On You,Heart,35.0,19.0,classic rock,Hard rock
45,45,45,74,1965-03-27,14,12.0,Nowhere To Run,Martha & The Vandellas,8.0,11.0,soul,Not Found
46,46,46,75,1977-01-29,56,54.0,Drivin' Wheel,Foghat,34.0,10.0,classic rock,Not Found
47,47,47,77,1978-08-19,27,28.0,Reminiscing,Little River Band,3.0,20.0,classic rock,Pop rock
48,48,48,78,1988-12-24,46,46.0,Dial My Heart,The Boys,13.0,19.0,punk,Pop
49,49,49,79,1967-07-29,56,58.0,Cold Sweat - Part 1,James Brown,7.0,12.0,funk,Not Found
50,50,50,81,1986-08-23,69,69.0,You Can Call Me Al,Paul Simon,23.0,29.0,singer-songwriter,Pop rock
51,51,51,83,1984-04-07,33,34.0,Red Red Wine,UB40,1.0,40.0,reggae,Pop
52,52,52,85,1987-08-22,12,10.0,I Just Can't Stop Loving You,Michael Jackson With Siedah Garrett,1.0,12.0,soul,Pop
53,53,53,86,1973-04-21,22,21.0,Space Oddity,David Bowie,15.0,14.0,rock,Not Found
54,54,54,88,1967-04-22,57,57.0,Buy For Me The Rain,Nitty Gritty Dirt Band,45.0,7.0,country,Not Found
55,55,55,89,1981-08-15,25,24.0,Fire And Ice,Pat Benatar,17.0,15.0,80s,Not Found
56,56,56,91,1983-08-20,41,42.0,True,Spandau Ballet,4.0,18.0,80s,New wave
57,57,57,92,1982-11-06,59,60.0,Shock The Monkey,Peter Gabriel,29.0,18.0,Progressive rock,New wave
58,58,58,94,1971-06-19,83,85.0,Wild Horses,The Rolling Stones,28.0,8.0,classic rock,Roots rock
59,59,59,95,1976-12-04,65,65.0,Drivin' Wheel,Foghat,34.0,10.0,classic rock,Not Found
60,60,60,97,1991-08-10,14,14.0,Motownphilly,Boyz II Men,3.0,24.0,rnb,New jack swing
61,61,61,99,1987-01-31,88,86.0,A Trick Of The Night,Bananarama,76.0,7.0,80s,Not Found
62,62,62,100,1971-11-27,11,11.0,Maggie May,Rod Stewart,1.0,17.0,classic rock,Rock
63,63,63,101,1980-03-08,85,85.0,A Lesson In Leavin',Dottie West,73.0,5.0,country,Not Found
64,64,64,102,1970-09-26,65,66.0,For The Good Times,Ray Price,11.0,24.0,country,Not Found
65,65,65,104,1983-06-18,23,22.0,We Two,Little River Band,22.0,12.0,classic rock,Not Found
66,66,66,105,1980-03-08,60,62.0,The Spirit Of Radio,Rush,51.0,8.0,Progressive rock,Progressive rock
67,67,67,106,1971-06-05,18,18.0,If,Bread,4.0,12.0,soft rock,Soft rock
68,68,68,107,1974-10-26,9,8.0,Sweet Home Alabama,Lynyrd Skynyrd,8.0,17.0,classic rock,Southern rock
69,69,69,109,1970-01-24,83,83.0,Ma Belle Amie,The Tee Set,5.0,12.0,dutch,Pop rock
70,70,70,111,1966-06-04,33,32.0,Eight Miles High,The Byrds,14.0,9.0,classic rock,Psychedelic rock
71,71,71,112,1962-01-27,27,27.0,Letter Full Of Tears,Gladys Knight & The Pips,19.0,11.0,soul,Not Found
72,72,72,114,1968-03-30,60,60.0,Sunshine Of Your Love,Cream,5.0,26.0,classic rock,Psychedelic rock
73,73,73,115,1958-12-29,52,52.0,Sweet Little Rock And Roll,Chuck Berry,47.0,9.0,Rock and Roll,Not Found
74,74,74,116,1972-12-02,48,48.0,Let It Rain,Eric Clapton,48.0,13.0,classic rock,Rock
75,75,75,119,1970-11-28,61,61.0,Stand By Me,"David Ruffin,Jimmy Ruffin",61.0,7.0,soul,Soul
76,76,76,120,1963-09-28,1,3.0,Be My Baby,The Ronettes,2.0,13.0,60s,Pop
77,77,77,122,1987-02-21,75,74.0,Have You Ever Loved Somebody,Freddie Jackson,69.0,9.0,soul,R&B
78,78,78,123,1960-12-19,64,64.0,Silent Night,Bing Crosby,54.0,2.0,jazz,Not Found
79,79,79,124,1978-12-23,14,13.0,Promises,Eric Clapton,9.0,18.0,classic rock,Rock and roll
80,80,80,126,1975-11-01,28,29.0,Blue Eyes Crying In The Rain,Willie Nelson,21.0,18.0,country,Country
81,81,81,127,1962-08-25,44,44.0,Stop The Wedding,Etta James,34.0,8.0,blues,Not Found
82,82,82,128,1972-09-30,32,33.0,Brandy (You're A Fine Girl),Looking Glass,1.0,16.0,70s,Not Found
83,83,83,130,1972-06-24,24,24.0,Tumbling Dice,The Rolling Stones,7.0,10.0,classic rock,Blues rock
84,84,84,131,1981-10-31,76,75.0,I Wouldn't Have Missed It For The World,Ronnie Milsap,20.0,17.0,country,Not Found
85,85,85,133,1963-07-20,24,24.0,Detroit City,Bobby Bare,16.0,12.0,country,Country
86,86,86,134,1967-01-07,49,47.0,I Had Too Much To Dream (Last Night),The Electric Prunes,11.0,14.0,Psychedelic Rock,Psychedelic rock
87,87,87,139,1990-09-29,79,79.0,The Way You Do The Things You Do,UB40,6.0,25.0,reggae,Soul
88,88,88,140,1974-06-29,43,41.0,La Grange,ZZ Top,41.0,19.0,classic rock,Blues rock
89,89,89,141,1982-12-04,39,39.0,Shock The Monkey,Peter Gabriel,29.0,18.0,Progressive rock,New wave
90,90,90,145,1961-12-18,22,20.0,Runaround Sue,Dion,1.0,14.0,oldies,Doo-wop
91,91,91,147,1961-02-06,32,32.0,Wheels,The String-A-Longs,3.0,16.0,instrumental,Not Found
92,92,92,148,1982-03-27,30,31.0,Spirits In The Material World,The Police,11.0,13.0,rock,Ska
93,93,93,149,1979-07-21,38,38.0,Just When I Needed You Most,Randy Vanwarmer,4.0,20.0,male vocalists,Pop rock
94,94,94,150,1984-09-29,7,6.0,What's Love Got To Do With It,Tina Turner,1.0,28.0,pop,Not Found
95,95,95,153,1961-05-01,52,50.0,Walk Right Back,The Everly Brothers,7.0,13.0,oldies,Rock
96,96,96,154,1980-02-09,62,63.0,Lonely Eyes,Robert John,41.0,11.0,classic rock,Not Found
97,97,97,155,1985-04-20,28,27.0,Forever Man,Eric Clapton,26.0,12.0,classic rock,synth rock
98,98,98,157,1959-08-24,8,8.0,Sleep Walk,Santo & Johnny,1.0,18.0,oldies,Instrumental rock
99,99,99,158,1986-03-22,52,52.0,Something About You,Level 42,7.0,27.0,80s,Not Found
100,100,100,159,1961-10-30,35,34.0,Little Sister,Elvis Presley,5.0,13.0,rock n roll,Alternative rock
101,101,101,160,1963-04-20,93,91.0,If You Need Me,Solomon Burke,37.0,11.0,soul,Soul
102,102,102,162,1960-01-04,77,79.0,Sweet Nothin's,Brenda Lee,4.0,24.0,oldies,Not Found
103,103,103,167,1974-06-08,38,39.0,No Charge,Melba Montgomery,39.0,10.0,country,Country
104,104,104,168,1967-09-16,9,9.0,San Franciscan Nights,The Animals,9.0,10.0,classic rock,Psychedelic rock
105,105,105,169,1961-06-19,96,95.0,Sea Of Heartbreak,Don Gibson,21.0,14.0,country,Not Found
106,106,106,170,1983-02-19,19,20.0,Twilight Zone,Golden Earring,10.0,27.0,classic rock,[1]
107,107,107,172,1963-06-29,67,69.0,If You Need Me,Solomon Burke,37.0,11.0,soul,Soul
108,108,108,176,1970-08-08,26,27.0,25 Or 6 To 4,Chicago,4.0,20.0,classic rock,Not Found
109,109,109,177,1977-02-05,74,74.0,I've Got Love On My Mind,Natalie Cole,5.0,21.0,jazz,R&B
110,110,110,179,1962-09-01,67,66.0,You Can't Judge A Book By The Cover,Bo Diddley,48.0,10.0,blues,Not Found
111,111,111,180,1972-07-01,69,68.0,Beautiful,Gordon Lightfoot,58.0,11.0,folk,Not Found
112,112,112,181,1983-03-19,80,79.0,Always Something There To Remind Me,Naked Eyes,8.0,22.0,new wave,Pop
113,113,113,182,1974-09-21,67,68.0,Annie's Song,John Denver,1.0,17.0,country,Folk rock
114,114,114,183,1979-12-15,34,35.0,Chiquitita,Abba,29.0,12.0,pop,Pop
115,115,115,184,1988-04-30,12,11.0,Always On My Mind,Pet Shop Boys,4.0,14.0,synthpop,Country
116,116,116,185,1958-10-27,31,29.0,Just A Dream,Jimmy Clanton,4.0,18.0,oldies,Not Found
117,117,117,187,1977-11-05,20,18.0,Help Is On Its Way,Little River Band,14.0,22.0,classic rock,Rock
118,118,118,188,1979-07-28,7,7.0,I Want You To Want Me,Cheap Trick,7.0,19.0,classic rock,Power pop
119,119,119,190,1975-02-08,20,20.0,Never Can Say Goodbye,Gloria Gaynor,9.0,17.0,Disco,Soul
120,120,120,191,1968-07-20,66,64.0,People Got To Be Free,The Rascals,1.0,14.0,indie,Blue-eyed soul
121,121,121,192,1959-11-02,30,29.0,Unforgettable,Dinah Washington,17.0,13.0,jazz,Pop
122,122,122,193,1978-09-30,96,96.0,Shadow Dancing,Andy Gibb,1.0,25.0,Disco,Disco
123,123,123,194,1974-12-21,38,36.0,Willie And The Hand Jive,Eric Clapton,26.0,9.0,classic rock,Not Found
124,124,124,195,1972-07-29,8,7.0,School's Out,Alice Cooper,7.0,13.0,hard rock,Hard rock
125,125,125,196,1962-05-12,36,34.0,Love Me Warm And Tender,Paul Anka,12.0,12.0,swing,Not Found
126,126,126,198,1985-03-16,36,36.0,Along Comes A Woman,Chicago,14.0,16.0,classic rock,Not Found
127,127,127,199,1980-10-11,40,41.0,Could I Have This Dance,Anne Murray,33.0,14.0,country,Country
128,128,128,202,1973-04-21,29,28.0,Love Train,The O'Jays,1.0,14.0,soul,R&B
129,129,129,203,1969-12-06,80,81.0,"Wonderful World, Beautiful People",Jimmy Cliff,25.0,11.0,reggae,Reggae
130,130,130,204,1970-08-29,35,34.0,I Want To Take You Higher,Ike & Tina Turner,34.0,18.0,soul,Psychedelic soul
131,131,131,205,1983-01-15,94,93.0,Pressure,Billy Joel,20.0,17.0,classic rock,Rock
132,132,132,206,1977-03-05,20,20.0,Maybe I'm Amazed,Paul McCartney,10.0,13.0,classic rock,Rock
133,133,133,207,1987-09-05,36,37.0,Back In The High Life Again,Steve Winwood,13.0,21.0,classic rock,Not Found
134,134,134,208,1976-08-21,65,67.0,Another Rainy Day In New York City,Chicago,32.0,9.0,classic rock,Ska
135,135,135,209,1974-05-04,99,97.0,Already Gone,Eagles,32.0,15.0,classic rock,Hard rock
136,136,136,210,1971-02-20,22,24.0,She's A Lady,Tom Jones,2.0,14.0,pop,Pop
137,137,137,212,1961-08-28,41,42.0,It's Gonna Work Out Fine,Ike & Tina Turner,14.0,15.0,soul,Rock & roll
138,138,138,213,1962-12-29,36,36.0,Comin' Home Baby,Mel Torme,36.0,11.0,Not Found,Vocal jazz
139,139,139,214,1959-02-09,94,95.0,(Night Time Is) The Right Time,Ray Charles,95.0,1.0,jazz,Not Found
140,140,140,215,1976-10-30,12,10.0,Magic Man,Heart,9.0,23.0,classic rock,Hard rock
141,141,141,216,1972-04-08,29,30.0,Do Your Thing,Isaac Hayes,30.0,11.0,soul,Not Found
142,142,142,217,1981-04-11,60,61.0,Jessie's Girl,Rick Springfield,1.0,32.0,80s,Power pop
143,143,143,218,1976-10-09,26,24.0,Fernando,Abba,13.0,16.0,pop,Pop
144,144,144,220,1962-11-17,62,61.0,Ramblin' Rose,"Nat ""King"" Cole",2.0,16.0,jazz,Not Found
145,145,145,221,1974-09-28,39,38.0,Feel Like Makin' Love,Roberta Flack,1.0,16.0,soul,Soul
146,146,146,222,1973-11-10,49,49.0,For Ol' Times Sake,Elvis Presley,41.0,9.0,rock n roll,Not Found
147,147,147,223,1983-09-03,89,89.0,Wanna Be Startin' Somethin',Michael Jackson,5.0,15.0,pop,Post-disco
148,148,148,224,1969-03-15,18,18.0,Galveston,Glen Campbell,4.0,12.0,country,Country pop
149,149,149,227,1981-11-21,57,55.0,Promises In The Dark,Pat Benatar,38.0,11.0,80s,Not Found
150,150,150,228,1989-09-02,96,95.0,Still Cruisin,The Beach Boys,93.0,3.0,classic rock,Not Found
151,151,151,229,1969-07-19,78,79.0,Honky Tonk Women,The Rolling Stones,1.0,15.0,classic rock,Hard rock
152,152,152,231,1977-07-02,23,24.0,"Knowing Me, Knowing You",Abba,14.0,15.0,pop,Not Found
153,153,153,234,1971-11-20,77,75.0,Life Is A Carnival,The Band,72.0,6.0,classic rock,Not Found
154,154,154,235,1974-12-28,65,65.0,Back Home Again,John Denver,5.0,16.0,country,Country
155,155,155,236,1987-05-23,95,95.0,"Tonight, Tonight, Tonight",Genesis,3.0,15.0,Progressive rock,Progressive rock
156,156,156,238,1980-01-05,95,97.0,You Decorated My Life,Kenny Rogers,7.0,18.0,country,Soft rock
157,157,157,239,1975-06-07,77,79.0,Sail On Sailor,The Beach Boys,49.0,17.0,classic rock,Not Found
158,158,158,240,1978-01-14,14,16.0,Just The Way You Are,Billy Joel,3.0,27.0,classic rock,Not Found
159,159,159,241,1962-12-29,40,38.0,White Christmas,Bing Crosby,12.0,13.0,jazz,Christmas
160,160,160,242,1991-02-16,50,49.0,Because I Love You (The Postman Song),Stevie B,1.0,23.0,freestyle,Pop
161,161,161,244,1966-11-12,17,16.0,"Have You Seen Your Mother, Baby, Standing In The Shadow?",The Rolling Stones,9.0,7.0,classic rock,Not Found
